Wrong: MR SP, Depth: 3.293854, Object distance: 0.5746727
Wrong: LR SP, Depth: 3.17453, Object distance: 0.5746727
Wrong: UM SP, Depth: 3.264403, Object distance: 0.5746727
Wrong: LL SP, Depth: 3.184063, Object distance: 0.5746727
Correct: UL SP, Depth: 3.180598, Object distance: 0.5746727
Correct: UM SP, Depth: 3.321472, Object distance: 0.5746727
Correct: LM SP, Depth: 3.167558, Object distance: 0.5746727
Correct: LL SP, Depth: 3.208929, Object distance: 0.5746727
Correct: LR SP, Depth: 3.219448, Object distance: 0.5746727
Wrong: UL SP, Depth: 3.314295, Object distance: 0.5746727
Correct: UL SP, Depth: 3.322571, Object distance: 0.5746727
Wrong: LM SP, Depth: 3.350797, Object distance: 0.5746727
Correct: LL SP, Depth: 3.328935, Object distance: 0.5746727
Correct: UM SP, Depth: 3.358317, Object distance: 0.5746727
Correct: LM SP, Depth: 3.305079, Object distance: 0.5746727
Correct: UR SP, Depth: 3.342741, Object distance: 0.5746727
Wrong: LR SP, Depth: 3.358762, Object distance: 0.5746727
Correct: LR SP, Depth: 3.324182, Object distance: 0.5746727
Correct: LL SP, Depth: 3.499698, Object distance: 0.5746727
Correct: UM SP, Depth: 3.53493, Object distance: 0.5746727
Correct: UL SP, Depth: 3.536932, Object distance: 0.5746727
Wrong: UL SP, Depth: 3.537534, Object distance: 0.5746727
Correct: ML SP, Depth: 3.531962, Object distance: 0.5746727
Correct: LM SP, Depth: 3.512783, Object distance: 0.5746727
Wrong: UM SP, Depth: 3.54363, Object distance: 0.5746727
Wrong: LM SP, Depth: 3.523834, Object distance: 0.5746727
Correct: LR SP, Depth: 3.513137, Object distance: 0.5746727
