Wrong: MM SP, Depth: 4.423185, Object distance: 0.5746727, HMD active: False
Wrong: LM SP, Depth: 4.39045, Object distance: 0.5746727, HMD active: False
Wrong: UR SP, Depth: 4.407989, Object distance: 0.5746727, HMD active: False
Wrong: LR SP, Depth: 4.408854, Object distance: 0.5746727, HMD active: False
Wrong: LR SP, Depth: 4.39118, Object distance: 0.5746727, HMD active: False
Wrong: LR SP, Depth: 4.391097, Object distance: 0.5746727, HMD active: True
Correct: LL SP, Depth: 4.390728, Object distance: 0.5746727, HMD active: True
Correct: MM SP, Depth: 4.404437, Object distance: 0.5746727, HMD active: True
Wrong: LR SP, Depth: 4.390409, Object distance: 0.5746727, HMD active: True
Correct: ML SP, Depth: 4.401777, Object distance: 0.5746727, HMD active: True
Wrong: LR SP, Depth: 4.378967, Object distance: 0.5224304, HMD active: False
Correct: LL SP, Depth: 4.370988, Object distance: 0.5224304, HMD active: False
Wrong: ML SP, Depth: 4.355819, Object distance: 0.5224304, HMD active: False
Correct: LM SP, Depth: 4.376239, Object distance: 0.5224304, HMD active: False
Correct: UR SP, Depth: 4.360763, Object distance: 0.5224304, HMD active: False
Wrong: MM SP, Depth: 4.3557, Object distance: 0.5224304, HMD active: True
Wrong: LR SP, Depth: 4.378335, Object distance: 0.5224304, HMD active: True
Correct: LL SP, Depth: 4.374429, Object distance: 0.5224304, HMD active: True
Correct: MM SP, Depth: 4.365898, Object distance: 0.5224304, HMD active: True
Wrong: UR SP, Depth: 4.389921, Object distance: 0.5224304, HMD active: True
Correct: MR SP, Depth: 4.377345, Object distance: 0.5224304, HMD active: True
Correct: LL SP, Depth: 4.365375, Object distance: 0.5224304, HMD active: True
Correct: UL SP, Depth: 4.365475, Object distance: 0.5224304, HMD active: True
Wrong: UR SP, Depth: 4.391658, Object distance: 0.5224304, HMD active: True
Correct: ML SP, Depth: 4.35743, Object distance: 0.5224304, HMD active: True
Correct: UR SP, Depth: 4.361059, Object distance: 0.5224304, HMD active: False
Correct: LL SP, Depth: 4.3685, Object distance: 0.5224304, HMD active: False
Wrong: UR SP, Depth: 4.375818, Object distance: 0.5224304, HMD active: False
Correct: MM SP, Depth: 4.370242, Object distance: 0.5224304, HMD active: False
Wrong: LR SP, Depth: 4.377778, Object distance: 0.5224304, HMD active: False
Wrong: LM SP, Depth: 4.364449, Object distance: 0.5224304, HMD active: True
Wrong: UR SP, Depth: 4.386549, Object distance: 0.5224304, HMD active: True
Wrong: MR SP, Depth: 4.36255, Object distance: 0.5224304, HMD active: True
Correct: LM SP, Depth: 4.376325, Object distance: 0.5224304, HMD active: True
Wrong: MM SP, Depth: 4.364933, Object distance: 0.5224304, HMD active: True
Wrong: MR SP, Depth: 4.368378, Object distance: 0.5224304, HMD active: False
Wrong: MM SP, Depth: 4.369857, Object distance: 0.5224304, HMD active: False
Wrong: LM SP, Depth: 4.361371, Object distance: 0.5224304, HMD active: False
Wrong: LM SP, Depth: 4.384695, Object distance: 0.5224304, HMD active: False
Wrong: MM SP, Depth: 4.369852, Object distance: 0.5224304, HMD active: False
