Wrong: LR SP, Depth: 4.396222, Object distance: 0.5746727, HMD active: False
Correct: MM SP, Depth: 4.402228, Object distance: 0.5746727, HMD active: False
Correct: UM SP, Depth: 4.436017, Object distance: 0.5746727, HMD active: False
Wrong: ML SP, Depth: 4.426812, Object distance: 0.5746727, HMD active: False
Correct: ML SP, Depth: 4.398421, Object distance: 0.5746727, HMD active: False
Correct: LL SP, Depth: 4.391428, Object distance: 0.5746727, HMD active: True
Correct: UL SP, Depth: 4.430737, Object distance: 0.5746727, HMD active: True
Correct: MR SP, Depth: 4.390964, Object distance: 0.5746727, HMD active: True
Correct: UR SP, Depth: 4.421723, Object distance: 0.5746727, HMD active: True
Wrong: MM SP, Depth: 4.39795, Object distance: 0.5746727, HMD active: True
Wrong: UR SP, Depth: 4.372462, Object distance: 0.5224304, HMD active: True
Correct: UL SP, Depth: 4.362927, Object distance: 0.5224304, HMD active: True
Correct: ML SP, Depth: 4.357482, Object distance: 0.5224304, HMD active: True
Wrong: LR SP, Depth: 4.377291, Object distance: 0.5224304, HMD active: True
Correct: LL SP, Depth: 4.365934, Object distance: 0.5224304, HMD active: True
Correct: MM SP, Depth: 4.365091, Object distance: 0.5224304, HMD active: False
Correct: UL SP, Depth: 4.356342, Object distance: 0.5224304, HMD active: False
Correct: UR SP, Depth: 4.360334, Object distance: 0.5224304, HMD active: False
Wrong: LL SP, Depth: 4.358919, Object distance: 0.5224304, HMD active: False
Wrong: LR SP, Depth: 4.377956, Object distance: 0.5224304, HMD active: False
Correct: MR SP, Depth: 4.343887, Object distance: 0.4749374, HMD active: True
Wrong: MM SP, Depth: 4.354995, Object distance: 0.4749374, HMD active: True
Wrong: UM SP, Depth: 4.343641, Object distance: 0.4749374, HMD active: True
Wrong: UM SP, Depth: 4.34447, Object distance: 0.4749374, HMD active: True
Correct: UR SP, Depth: 4.349174, Object distance: 0.4749374, HMD active: True
Correct: MM SP, Depth: 4.344748, Object distance: 0.4749374, HMD active: False
Correct: UR SP, Depth: 4.349749, Object distance: 0.4749374, HMD active: False
Wrong: LL SP, Depth: 4.343634, Object distance: 0.4749374, HMD active: False
Wrong: LR SP, Depth: 4.345785, Object distance: 0.4749374, HMD active: False
Wrong: UL SP, Depth: 4.350775, Object distance: 0.4749374, HMD active: False
Correct: UM SP, Depth: 4.34342, Object distance: 0.4317589, HMD active: True
Wrong: UR SP, Depth: 4.343614, Object distance: 0.4317589, HMD active: True
Wrong: MR SP, Depth: 4.344561, Object distance: 0.4317589, HMD active: True
Wrong: UR SP, Depth: 4.34903, Object distance: 0.4317589, HMD active: True
Wrong: UL SP, Depth: 4.34584, Object distance: 0.4317589, HMD active: True
Correct: UR SP, Depth: 4.345456, Object distance: 0.4317589, HMD active: False
Correct: LM SP, Depth: 4.343301, Object distance: 0.4317589, HMD active: False
Correct: UL SP, Depth: 4.326421, Object distance: 0.4317589, HMD active: False
Wrong: ML SP, Depth: 4.344221, Object distance: 0.4317589, HMD active: False
Correct: LL SP, Depth: 4.343487, Object distance: 0.4317589, HMD active: False

Correct with eye tracking: 12, Correct without eye tracking: 10
