Correct: MM SP, Depth: 4.40439, Object distance: 0.5746727, HMD active: False
Correct: LL SP, Depth: 4.388189, Object distance: 0.5746727, HMD active: False
Correct: UM SP, Depth: 4.407229, Object distance: 0.5746727, HMD active: False
Correct: MR SP, Depth: 4.390168, Object distance: 0.5746727, HMD active: False
Correct: UL SP, Depth: 4.431876, Object distance: 0.5746727, HMD active: False
Correct: UR SP, Depth: 4.413248, Object distance: 0.5746727, HMD active: True
Correct: UL SP, Depth: 4.424912, Object distance: 0.5746727, HMD active: True
Correct: LL SP, Depth: 4.390957, Object distance: 0.5746727, HMD active: True
Correct: ML SP, Depth: 4.404172, Object distance: 0.5746727, HMD active: True
Correct: LM SP, Depth: 4.392385, Object distance: 0.5746727, HMD active: True
Correct: UR SP, Depth: 4.361582, Object distance: 0.5224304, HMD active: True
Correct: UL SP, Depth: 4.362563, Object distance: 0.5224304, HMD active: True
Correct: MR SP, Depth: 4.379354, Object distance: 0.5224304, HMD active: True
Correct: UM SP, Depth: 4.393341, Object distance: 0.5224304, HMD active: True
Correct: ML SP, Depth: 4.366073, Object distance: 0.5224304, HMD active: True
Correct: UL SP, Depth: 4.362059, Object distance: 0.5224304, HMD active: False
Correct: UR SP, Depth: 4.35991, Object distance: 0.5224304, HMD active: False
Wrong: LM SP, Depth: 4.3663, Object distance: 0.5224304, HMD active: False
Wrong: LL SP, Depth: 4.362797, Object distance: 0.5224304, HMD active: False
Correct: LM SP, Depth: 4.377061, Object distance: 0.5224304, HMD active: False
Correct: ML SP, Depth: 4.346673, Object distance: 0.4749374, HMD active: False
Correct: UM SP, Depth: 4.354392, Object distance: 0.4749374, HMD active: False
Wrong: UR SP, Depth: 4.340132, Object distance: 0.4749374, HMD active: False
Wrong: UR SP, Depth: 4.345139, Object distance: 0.4749374, HMD active: False
Correct: UR SP, Depth: 4.354564, Object distance: 0.4749374, HMD active: False
Correct: UR SP, Depth: 4.354751, Object distance: 0.4749374, HMD active: True
Wrong: UM SP, Depth: 4.346042, Object distance: 0.4749374, HMD active: True
Correct: UM SP, Depth: 4.357882, Object distance: 0.4749374, HMD active: True
Correct: UL SP, Depth: 4.354661, Object distance: 0.4749374, HMD active: True
Correct: ML SP, Depth: 4.346252, Object distance: 0.4749374, HMD active: True
Wrong: LL SP, Depth: 4.342197, Object distance: 0.4317589, HMD active: False
Wrong: ML SP, Depth: 4.326421, Object distance: 0.4317589, HMD active: False
Correct: LL SP, Depth: 4.341898, Object distance: 0.4317589, HMD active: False
Wrong: LM SP, Depth: 4.34278, Object distance: 0.4317589, HMD active: False
Wrong: MM SP, Depth: 4.342346, Object distance: 0.4317589, HMD active: False
Correct: MR SP, Depth: 4.347423, Object distance: 0.4317589, HMD active: True
Correct: UM SP, Depth: 4.346855, Object distance: 0.4317589, HMD active: True
Correct: LL SP, Depth: 4.341267, Object distance: 0.4317589, HMD active: True
Correct: ML SP, Depth: 4.345452, Object distance: 0.4317589, HMD active: True
Correct: LM SP, Depth: 4.344079, Object distance: 0.4317589, HMD active: True

Correct with eye tracking: 12, Correct without eye tracking: 19
