Scene: MainSceneVR
Role: Fixer

Condition: 2, Errors: 0, Time stared at a face: 0.6586734, Time taken: 111.86, Average FPS: 88.91685

Condition: 3, Errors: 0, Time stared at a face: 1.663398, Time taken: 84.76, Average FPS: 89.04357

Condition: 0, Errors: 0, Time stared at a face: 0.4704522, Time taken: 70.06, Average FPS: 89.11681

Condition: 1, Errors: 1, Time stared at a face: 0.8738322, Time taken: 67.47, Average FPS: 89.15734



Condition: 2, question: 0, answer: 1
Condition: 2, question: 1, answer: 5
Condition: 2, question: 2, answer: 5
Condition: 2, question: 3, answer: 5
Condition: 2, question: 4, answer: 3
Condition: 2, question: 5, answer: 5
Condition: 2, question: 6, answer: 3

Condition: 3, question: 0, answer: 1
Condition: 3, question: 1, answer: 5
Condition: 3, question: 2, answer: 5
Condition: 3, question: 3, answer: 5
Condition: 3, question: 4, answer: 3
Condition: 3, question: 5, answer: 5
Condition: 3, question: 6, answer: 3

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 5
Condition: 0, question: 2, answer: 5
Condition: 0, question: 3, answer: 5
Condition: 0, question: 4, answer: 3
Condition: 0, question: 5, answer: 5
Condition: 0, question: 6, answer: 3

Condition: 1, question: 0, answer: 1
Condition: 1, question: 1, answer: 5
Condition: 1, question: 2, answer: 5
Condition: 1, question: 3, answer: 5
Condition: 1, question: 4, answer: 3
Condition: 1, question: 5, answer: 5
Condition: 1, question: 6, answer: 2
