Scene: MainSceneVR
Role: Fixer

Condition: 3, Errors: 4, Time stared at a face: 4.433829, Time taken: 84.89, Average FPS: 87.40103

Condition: 2, Errors: 1, Time stared at a face: 1.810144, Time taken: 127.36, Average FPS: 87.37465

Condition: 1, Errors: 7, Time stared at a face: 10.5517, Time taken: 124.12, Average FPS: 87.24788

Condition: 0, Errors: 2, Time stared at a face: 0.05718567, Time taken: 71.09, Average FPS: 87.23129



Condition: 3, question: 0, answer: 1
Condition: 3, question: 1, answer: 1
Condition: 3, question: 2, answer: 1
Condition: 3, question: 3, answer: 1
Condition: 3, question: 4, answer: 1
Condition: 3, question: 5, answer: 1

Condition: 2, question: 0, answer: 1
Condition: 2, question: 1, answer: 1
Condition: 2, question: 2, answer: 1
Condition: 2, question: 3, answer: 1
Condition: 2, question: 4, answer: 1
Condition: 2, question: 5, answer: 1

Condition: 1, question: 0, answer: 5
Condition: 1, question: 1, answer: 5
Condition: 1, question: 2, answer: 5
Condition: 1, question: 3, answer: 5
Condition: 1, question: 4, answer: 5
Condition: 1, question: 5, answer: 5

Condition: 0, question: 0, answer: 2
Condition: 0, question: 1, answer: 2
Condition: 0, question: 2, answer: 2
Condition: 0, question: 3, answer: 2
Condition: 0, question: 4, answer: 2
Condition: 0, question: 5, answer: 2
