Scene: MainSceneVR
Role: Fixer

Condition: 3, Errors: 7, Time stared at a face: 3.145961, Time taken: 198.27, Average FPS: 88.97017

Condition: 1, Errors: 1, Time stared at a face: 1.711015, Time taken: 66.97, Average FPS: 88.93195

Condition: 0, Errors: 0, Time stared at a face: 0.1314183, Time taken: 52.48, Average FPS: 88.98277

Condition: 2, Errors: 2, Time stared at a face: 0.02220823, Time taken: 60.76, Average FPS: 89.03213



Condition: 3, question: 0, answer: 2
Condition: 3, question: 1, answer: 4
Condition: 3, question: 2, answer: 5
Condition: 3, question: 3, answer: 5
Condition: 3, question: 4, answer: 4
Condition: 3, question: 5, answer: 5

Condition: 1, question: 0, answer: 1
Condition: 1, question: 1, answer: 4
Condition: 1, question: 2, answer: 5
Condition: 1, question: 3, answer: 5
Condition: 1, question: 4, answer: 4
Condition: 1, question: 5, answer: 5

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 5
Condition: 0, question: 2, answer: 5
Condition: 0, question: 3, answer: 5
Condition: 0, question: 4, answer: 3
Condition: 0, question: 5, answer: 5

Condition: 2, question: 0, answer: 1
Condition: 2, question: 1, answer: 4
Condition: 2, question: 2, answer: 5
Condition: 2, question: 3, answer: 5
Condition: 2, question: 4, answer: 3
Condition: 2, question: 5, answer: 5
