Condition: 2, Time: 74.404



Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 1
Condition: 0, question: 2, answer: 1
Condition: 0, question: 3, answer: 1
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 1

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 1
Condition: 0, question: 2, answer: 1
Condition: 0, question: 3, answer: 1
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 1

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 1
Condition: 0, question: 2, answer: 1
Condition: 0, question: 3, answer: 1
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 1

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 1
Condition: 0, question: 2, answer: 1
Condition: 0, question: 3, answer: 1
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 1
