Timestamp,Identifier,PupilPositionX,PupilPositionY,PupilPositionZ,UnityWorldPositionX,UnityWorldPositionY,UnityWorldPositionZ
0.8251,norm_pos_0,0.1143,0.5013,0.0000,-7.9311,2.7458,-13.9060
0.6205,norm_pos_0,0.5852,0.5537,0.0000,-7.5098,2.9344,-12.7393
0.7201,norm_pos_0,1.2340,0.7321,0.0000,-6.9494,3.5189,-11.1290
0.8025,norm_pos_0,1.1700,0.6965,0.0000,-7.0541,3.3548,-11.2844
0.9900,norm_pos_0,0.3878,0.4251,0.0000,-7.6558,2.4963,-13.2498
0.8902,norm_pos_0,0.3869,0.4238,0.0000,-7.6548,2.4897,-13.2531
0.9435,norm_pos_0,0.3850,0.4240,0.0000,-7.6565,2.4901,-13.2580
0.9789,norm_pos_0,0.3887,0.4265,0.0000,-7.6540,2.4976,-13.2487
0.9166,norm_pos_0,0.3962,0.4305,0.0000,-7.6476,2.5063,-13.2342
0.9958,norm_pos_0,0.4062,0.4324,0.0000,-7.6395,2.5123,-13.2089
0.9921,norm_pos_0,0.4236,0.4378,0.0000,-7.6262,2.5294,-13.1650
0.9599,norm_pos_0,0.4360,0.4419,0.0000,-7.6144,2.5333,-13.1391
0.9002,norm_pos_0,0.4465,0.4437,0.0000,-7.6053,2.5341,-13.1222
0.8064,norm_pos_0,0.4576,0.4482,0.0000,-7.5977,2.5479,-13.0940
0.9179,norm_pos_0,0.4660,0.4498,0.0000,-7.5913,2.5532,-13.0729
0.9455,norm_pos_0,0.4625,0.4474,0.0000,-7.5925,2.5364,-13.0967
0.9450,norm_pos_0,0.4573,0.4437,0.0000,-7.5953,2.5252,-13.1102
0.9327,norm_pos_0,0.4511,0.4396,0.0000,-7.5988,2.5128,-13.1260
1.0000,norm_pos_0,0.4444,0.4345,0.0000,-7.6023,2.4977,-13.1432
0.9415,norm_pos_0,0.4391,0.4296,0.0000,-7.6010,2.4705,-13.1718
0.9559,norm_pos_0,0.4359,0.4257,0.0000,-7.6020,2.4591,-13.1803
0.9994,norm_pos_0,0.4342,0.4223,0.0000,-7.6017,2.4475,-13.1840
0.9834,norm_pos_0,0.4366,0.4219,0.0000,-7.5943,2.4336,-13.1809
0.9621,norm_pos_0,0.4389,0.4236,0.0000,-7.5932,2.4385,-13.1748
1.0000,norm_pos_0,0.4412,0.4273,0.0000,-7.5929,2.4494,-13.1685
1.0000,norm_pos_0,0.4428,0.4307,0.0000,-7.5873,2.4468,-13.1582
0.8143,norm_pos_0,0.4417,0.4316,0.0000,-7.5886,2.4494,-13.1610
0.6142,norm_pos_0,0.2357,0.5195,0.0000,-7.7990,2.6948,-13.6413
0.8222,norm_pos_0,0.2469,0.4744,0.0000,-7.7673,2.5634,-13.6237
0.9227,norm_pos_0,0.4268,0.4660,0.0000,-7.6028,2.5178,-13.1634
1.0000,norm_pos_0,0.4147,0.4673,0.0000,-7.6142,2.5219,-13.1932
0.9427,norm_pos_0,0.4203,0.4712,0.0000,-7.6079,2.5258,-13.1715
1.0000,norm_pos_0,0.4183,0.4775,0.0000,-7.6131,2.5441,-13.1752
1.0000,norm_pos_0,0.4204,0.4847,0.0000,-7.6151,2.5649,-13.1684
1.0000,norm_pos_0,0.4173,0.4883,0.0000,-7.6185,2.5722,-13.1729
1.0000,norm_pos_0,0.4202,0.4934,0.0000,-7.6186,2.5867,-13.1646
1.0000,norm_pos_0,0.4237,0.4976,0.0000,-7.6177,2.5988,-13.1551
1.0000,norm_pos_0,0.4260,0.5008,0.0000,-7.6164,2.6046,-13.1493
1.0000,norm_pos_0,0.4269,0.5037,0.0000,-7.6175,2.6137,-13.1480
0.9920,norm_pos_0,0.4280,0.5077,0.0000,-7.6188,2.6253,-13.1447
1.0000,norm_pos_0,0.4359,0.5150,0.0000,-7.6152,2.6431,-13.1262
0.9279,norm_pos_0,0.4422,0.5228,0.0000,-7.6140,2.6657,-13.1091
0.8954,norm_pos_0,0.4463,0.5289,0.0000,-7.6137,2.6834,-13.0976
0.8698,norm_pos_0,0.4516,0.5323,0.0000,-7.6109,2.6934,-13.0838
0.8659,norm_pos_0,0.4573,0.5357,0.0000,-7.6083,2.7030,-13.0740
0.7816,norm_pos_0,0.4757,0.5473,0.0000,-7.5993,2.7366,-13.0289
0.9037,norm_pos_0,0.4840,0.5524,0.0000,-7.5949,2.7517,-13.0072
0.9564,norm_pos_0,0.5026,0.5599,0.0000,-7.5842,2.7712,-12.9665
0.6909,norm_pos_1,0.8107,0.6188,0.0000,-7.3474,2.9323,-12.1777
0.7968,norm_pos_1,0.7970,0.6141,0.0000,-7.3566,2.9186,-12.2131
0.6755,norm_pos_1,0.7882,0.6093,0.0000,-7.3543,2.9029,-12.2308
0.6435,norm_pos_1,0.7841,0.6068,0.0000,-7.3565,2.8958,-12.2417
0.8627,norm_pos_1,0.4880,0.5479,0.0000,-7.5812,2.7237,-12.9867
0.8663,norm_pos_1,0.4791,0.5457,0.0000,-7.5847,2.7141,-12.9993
0.9996,norm_pos_1,0.4730,0.5451,0.0000,-7.5900,2.7122,-13.0144
0.9825,norm_pos_1,0.4698,0.5464,0.0000,-7.5904,2.7112,-13.0125
0.9011,norm_pos_1,0.4664,0.5466,0.0000,-7.5938,2.7117,-13.0209
1.0000,norm_pos_1,0.4587,0.5548,0.0000,-7.6062,2.7352,-13.0381
1.0000,norm_pos_1,0.4619,0.5590,0.0000,-7.6048,2.7428,-13.0268
1.0000,norm_pos_1,0.4619,0.5608,0.0000,-7.6060,2.7481,-13.0264
1.0000,norm_pos_1,0.4603,0.5611,0.0000,-7.6087,2.7489,-13.0331
1.0000,norm_pos_1,0.4666,0.5634,0.0000,-7.6046,2.7526,-13.0192
1.0000,norm_pos_1,0.4638,0.5637,0.0000,-7.6074,2.7536,-13.0259
1.0000,norm_pos_1,0.4650,0.5639,0.0000,-7.6064,2.7541,-13.0230
1.0000,norm_pos_1,0.4650,0.5638,0.0000,-7.6064,2.7539,-13.0231
1.0000,norm_pos_1,0.4660,0.5639,0.0000,-7.6068,2.7502,-13.0247
1.0000,norm_pos_1,0.4677,0.5645,0.0000,-7.6055,2.7519,-13.0203
1.0000,norm_pos_1,0.4707,0.5653,0.0000,-7.6040,2.7532,-13.0153
1.0000,norm_pos_1,0.4720,0.5644,0.0000,-7.6022,2.7507,-13.0122
1.0000,norm_pos_1,0.4747,0.5644,0.0000,-7.6022,2.7473,-13.0128
1.0000,norm_pos_1,0.4758,0.5636,0.0000,-7.6007,2.7450,-13.0103
1.0000,norm_pos_1,0.4742,0.5620,0.0000,-7.6025,2.7374,-13.0190
1.0000,norm_pos_1,0.4697,0.5616,0.0000,-7.6064,2.7361,-13.0304
1.0000,norm_pos_1,0.4648,0.5586,0.0000,-7.6101,2.7247,-13.0468
1.0000,norm_pos_1,0.4578,0.5561,0.0000,-7.6147,2.7175,-13.0648
1.0000,norm_pos_1,0.4559,0.5548,0.0000,-7.6155,2.7136,-13.0697
1.0000,norm_pos_1,0.4525,0.5526,0.0000,-7.6176,2.7053,-13.0796
1.0000,norm_pos_1,0.4499,0.5513,0.0000,-7.6189,2.7015,-13.0862
1.0000,norm_pos_1,0.4506,0.5505,0.0000,-7.6178,2.6992,-13.0848
1.0000,norm_pos_1,0.4470,0.5495,0.0000,-7.6204,2.6964,-13.0939
1.0000,norm_pos_1,0.4448,0.5480,0.0000,-7.6209,2.6899,-13.0983
1.0000,norm_pos_1,0.4463,0.5469,0.0000,-7.6186,2.6870,-13.0934
0.9900,norm_pos_0,0.5344,0.4921,0.0000,-7.5733,2.5212,-13.0956
1.0000,norm_pos_0,0.5330,0.4924,0.0000,-7.5741,2.5224,-13.0993
1.0000,norm_pos_0,0.5349,0.4926,0.0000,-7.5743,2.5241,-13.0964
1.0000,norm_pos_0,0.5358,0.4925,0.0000,-7.5794,2.5278,-13.1174
1.0000,norm_pos_0,0.5328,0.4902,0.0000,-7.5790,2.5222,-13.1262
1.0000,norm_pos_0,0.5371,0.4922,0.0000,-7.5787,2.5268,-13.1140
1.0000,norm_pos_0,0.5408,0.4939,0.0000,-7.5784,2.5304,-13.1037
1.0000,norm_pos_0,0.5468,0.4965,0.0000,-7.5869,2.5422,-13.1255
1.0000,norm_pos_0,0.5520,0.4992,0.0000,-7.5929,2.5519,-13.1411
1.0000,norm_pos_0,0.5685,0.5070,0.0000,-7.6013,2.5737,-13.1260
1.0000,norm_pos_0,0.5911,0.5177,0.0000,-7.6056,2.5980,-13.0625
0.9659,norm_pos_0,0.6120,0.5278,0.0000,-7.6097,2.6210,-13.0039
0.9705,norm_pos_0,0.6233,0.5339,0.0000,-7.6221,2.6352,-13.0050
0.9900,norm_pos_0,0.7585,0.5935,0.0000,-7.6564,2.7683,-12.6292
0.7940,norm_pos_0,0.8569,0.6437,0.0000,-7.7009,2.8872,-12.3732
0.9900,norm_pos_0,1.1262,0.7402,0.0000,-7.7663,3.0885,-11.6327
0.9900,norm_pos_0,1.3157,0.8095,0.0000,-7.8132,3.2339,-11.1111
0.9900,norm_pos_0,1.5056,0.8792,0.0000,-7.9467,3.3807,-10.6328
0.9223,norm_pos_0,1.5052,0.8811,0.0000,-7.9479,3.3860,-10.6332
0.8946,norm_pos_0,1.5017,0.8815,0.0000,-7.9479,3.3884,-10.6424
1.0000,norm_pos_0,1.5920,0.9153,0.0000,-8.1211,3.4527,-10.4688
1.0000,norm_pos_0,1.5957,0.9158,0.0000,-8.2244,3.4494,-10.5174
1.0000,norm_pos_0,1.5886,0.9139,0.0000,-8.2208,3.4459,-10.5365
1.0000,norm_pos_0,1.5850,0.9094,0.0000,-8.2166,3.4342,-10.5470
1.0000,norm_pos_0,1.5633,0.9014,0.0000,-8.2041,3.4174,-10.6056
1.0000,norm_pos_0,1.5262,0.8896,0.0000,-8.2864,3.4088,-10.7762
1.0000,norm_pos_0,1.4991,0.8796,0.0000,-8.2680,3.3878,-10.8488
1.0000,norm_pos_0,1.4431,0.8605,0.0000,-8.2311,3.3486,-10.9985
1.0000,norm_pos_0,1.3832,0.8428,0.0000,-8.2671,3.3271,-11.2212
1.0000,norm_pos_0,1.3399,0.8301,0.0000,-8.2398,3.3104,-11.3408
1.0000,norm_pos_0,1.2954,0.8168,0.0000,-8.2074,3.2840,-11.4582
1.0000,norm_pos_0,1.2505,0.8045,0.0000,-8.1755,3.2607,-11.5763
1.0000,norm_pos_0,1.1998,0.7883,0.0000,-8.2038,3.2447,-11.7851
1.0000,norm_pos_0,1.1592,0.7764,0.0000,-8.1700,3.2208,-11.8904
1.0000,norm_pos_0,1.1014,0.7582,0.0000,-8.1208,3.1827,-12.0408
1.0000,norm_pos_0,1.0506,0.7414,0.0000,-8.1258,3.1601,-12.2477
0.9924,norm_pos_0,1.0086,0.7292,0.0000,-8.0860,3.1347,-12.3548
0.9984,norm_pos_0,0.9436,0.7093,0.0000,-8.0419,3.0996,-12.5596
1.0000,norm_pos_0,0.8919,0.6927,0.0000,-8.0290,3.0835,-12.8049
1.0000,norm_pos_0,0.8003,0.6635,0.0000,-7.9182,3.0177,-13.0286
1.0000,norm_pos_0,0.7471,0.6482,0.0000,-7.8549,2.9845,-13.1588
1.0000,norm_pos_0,0.6993,0.6353,0.0000,-7.7978,2.9696,-13.3431
0.9112,norm_pos_0,0.6589,0.6248,0.0000,-7.7456,2.9466,-13.4393
0.8713,norm_pos_0,0.6178,0.6132,0.0000,-7.6816,2.9230,-13.5875
0.9900,norm_pos_0,0.5212,0.5808,0.0000,-7.5426,2.8502,-13.8118
1.0000,norm_pos_0,0.4692,0.5706,0.0000,-7.4721,2.8316,-13.9330
1.0000,norm_pos_0,0.4177,0.5605,0.0000,-7.3719,2.8233,-14.0894
1.0000,norm_pos_0,0.3757,0.5523,0.0000,-7.3114,2.8086,-14.1849
1.0000,norm_pos_0,0.3260,0.5440,0.0000,-7.2405,2.7955,-14.2982
0.9900,norm_pos_1,-0.0093,0.5578,0.0000,-6.5543,2.8743,-15.0943
0.9632,norm_pos_1,-0.0111,0.5540,0.0000,-6.5493,2.8635,-15.0971
0.9900,norm_pos_0,0.0924,0.5582,0.0000,-5.7838,2.3585,-14.7176
1.0000,norm_pos_0,0.1112,0.5607,0.0000,-5.8372,2.3507,-14.7057
1.0000,norm_pos_0,0.0945,0.5558,0.0000,-5.7917,2.3428,-14.7125
1.0000,norm_pos_0,0.0970,0.5562,0.0000,-5.7983,2.3432,-14.7109
1.0000,norm_pos_0,0.0959,0.5545,0.0000,-5.7975,2.3289,-14.7090
1.0000,norm_pos_0,0.1033,0.5553,0.0000,-5.8166,2.3293,-14.7037
1.0000,norm_pos_0,0.1052,0.5562,0.0000,-5.8252,2.3234,-14.7042
1.0000,norm_pos_0,0.1104,0.5569,0.0000,-5.8413,2.3181,-14.7017
1.0000,norm_pos_0,0.1170,0.5567,0.0000,-5.8575,2.3164,-14.6954
1.0000,norm_pos_0,0.1188,0.5565,0.0000,-5.8617,2.3154,-14.6934
1.0000,norm_pos_0,0.1234,0.5560,0.0000,-5.8736,2.3078,-14.6882
1.0000,norm_pos_0,0.1233,0.5556,0.0000,-5.8729,2.3069,-14.6876
1.0000,norm_pos_0,0.1255,0.5556,0.0000,-5.8816,2.2999,-14.6861
1.0000,norm_pos_0,0.1295,0.5548,0.0000,-5.8907,2.2972,-14.6811
1.0000,norm_pos_0,0.1318,0.5542,0.0000,-5.9016,2.2896,-14.6800
1.0000,norm_pos_0,0.1345,0.5546,0.0000,-5.9087,2.2900,-14.6782
1.0000,norm_pos_0,0.1362,0.5551,0.0000,-5.9132,2.2907,-14.6774
1.0000,norm_pos_0,0.1334,0.5529,0.0000,-5.9047,2.2864,-14.6762
1.0000,norm_pos_0,0.1312,0.5497,0.0000,-5.9034,2.2744,-14.6756
0.8539,norm_pos_0,0.1205,0.5448,0.0000,-5.8729,2.2654,-14.6774
0.8474,norm_pos_0,0.1200,0.5368,0.0000,-5.8725,2.2428,-14.6675
0.8223,norm_pos_0,0.1346,0.5016,0.0000,-5.8791,2.1605,-14.5931
0.6973,norm_pos_0,0.1386,0.5069,0.0000,-5.8936,2.1719,-14.5985
